qber_label,n,diff_mean,ci_lo,ci_hi,winner
1%,16,-0.691,-0.758,-0.609,LDPC
1%,32,-0.162,-0.257,-0.068,LDPC
1%,48,0.001,-0.094,0.096,tie
1%,64,0.073,0.042,0.115,GRAND
1%,96,0.125,0.125,0.125,GRAND
1%,128,0.151,0.125,0.164,GRAND
2%,16,-0.542,-0.636,-0.447,LDPC
2%,32,-0.167,-0.229,-0.104,LDPC
2%,48,0.021,0.021,0.021,GRAND
2%,64,0.089,0.036,0.151,GRAND
2%,96,0.066,0.02,0.109,GRAND
2%,128,-0.062,-0.157,0.027,tie
3%,16,-0.501,-0.596,-0.406,LDPC
3%,32,-0.188,-0.25,-0.125,LDPC
3%,48,0.029,-0.004,0.071,tie
3%,64,0.106,0.042,0.179,GRAND
3%,96,-0.042,-0.117,0.024,tie
3%,128,-0.274,-0.359,-0.189,LDPC
4%,16,-0.312,-0.396,-0.24,LDPC
4%,32,-0.1,-0.158,-0.042,LDPC
4%,48,0.097,0.021,0.177,GRAND
4%,64,0.033,-0.008,0.083,tie
4%,96,-0.136,-0.21,-0.064,LDPC
4%,128,-0.279,-0.35,-0.204,LDPC
